Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
e2bca2ea-6988-39da-bb15-dcfcb715d6de,17260c93-fcaf-3ccf-815b-0ddb786f5f6d,Gavin481 Jast432,M,GENERAL PRACTICE,1110 N WESTERN AVE,LOS ANGELES,CA,900291087,34.0536909,-118.242766,1065,0
6b5e00dc-fd0f-3715-897a-40f3b88436da,6d0578d3-05e1-38e9-b67c-f398a3bec4bb,Myung778 Deckow585,F,GENERAL PRACTICE,9267 GREENBACK LN,ORANGEVALE,CA,956624864,38.6784255,-121.2087022,27,0
6a0c967a-73ed-37f4-9bd1-651da61ffae6,72f42967-7ac8-3e5d-a5ba-7b9f2a9f64f7,Dorotha379 Legros616,F,GENERAL PRACTICE,24060 CAMINO DEL AVION,DANA POINT,CA,926294006,33.488769500000004,-117.70917548218998,2,0
b9acfe0e-ed54-3a84-b4cc-45f55cc6c246,bf1c3aef-4745-3a21-a1fe-5766597e2542,Khalilah870 Glover433,F,GENERAL PRACTICE,1640 N. FAIR OAKS AVENUE,PASADENA,CA,911031615,34.1739242,-118.1504542,8,0
64ed628c-fcc1-364e-b7ad-5a253a8f5b9f,0b8339ab-4ea4-39cb-89f8-bded4ddc7bff,Sara501 Rico947,F,GENERAL PRACTICE,500 WEST HOSPITAL ROAD  SUITE A,FRENCH CAMP,CA,952319693,37.886327,-121.28297548125127,40,0
b1b6c8e0-8598-3e39-98fc-fb3f2f8a2fc1,bf5c8080-2932-33cd-a909-544a6cf35968,Harvey63 Lehner980,M,GENERAL PRACTICE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,18,0
baabf0b7-35d3-37cd-bfc9-86a443374724,c8ea90a2-5fa7-38eb-83b9-02129749dfe3,Josiah310 Sipes176,M,GENERAL PRACTICE,2880 SUNRISE BLVD SUITE 218,RANCHO CORDOVA,CA,957426101,38.599685,-121.265887,14,0
bd331c86-bdda-3d46-89ee-fdf41e7f07ee,1dd0d14f-2ee5-33f6-a814-9ecc2a14998e,Audrea654 Braun514,F,GENERAL PRACTICE,870 HAMPSHIRE RD STE P,WESTLAKE VILLAGE,CA,913616041,34.15478506398215,-118.83157757806522,11,0
d20c3094-a6ea-3425-be04-d586ed545eb8,8c0220f0-7dcf-3b0d-a025-cd19ea25b9ae,Silvia880 Fajardo595,F,GENERAL PRACTICE,510 MILL ST,FOLSOM,CA,956302607,38.679738453588236,-121.16824432814472,3,0
63963eaf-2179-3f9a-8f0e-df9ca312fd2b,cfcd218e-efa4-3cc4-848a-828c4bb690e3,Manual570 Rutherford999,M,GENERAL PRACTICE,2236 MERTON AVE.,LOS ANGELES,CA,900411915,34.137863193548384,-118.21561316129032,2,0
6e803412-7909-3591-91cb-b0b0dba6070e,32dd5695-3c26-3f1e-80e6-700668319d63,Jaunita130 Armstrong51,F,GENERAL PRACTICE,7485 MISSION VALLEY RD,SAN DIEGO,CA,921084422,32.779344,-117.160108,25,0
103d293a-b143-3f83-b54c-1334d00bb51b,f21c8774-85e9-3287-adb0-e3f2b29f1299,Jorge203 Gallardo890,M,GENERAL PRACTICE,225 WEST MADISON AVENUE  SUITE 3,EL CAJON,CA,920203454,32.800008,-116.964221,16,0
f4be5abc-ce96-372b-8b73-303bc83bdd2d,6e2d7cdb-1abc-30ac-807a-c7fb14733a29,January966 Roberts511,F,GENERAL PRACTICE,27200 CALAROGA AVE,HAYWARD,CA,945454339,37.63320025,-122.08790356843016,22,0
dc48ae46-b6c2-37ca-b735-aebec91e1402,b0917462-e530-3a1d-944f-b219d683c645,Tom274 Gutkowski940,M,GENERAL PRACTICE,19270 SONOMA HIGHWAY 12,SONOMA,CA,95476,38.5110803,-122.8473388,23,0
ca14dbf8-90e0-3fa8-bb0b-196a485436e3,b9f8885a-a7b2-386e-9383-ee76a297bb14,Juliet585 Hickle134,F,GENERAL PRACTICE,3020 WILSHIRE BLVD,LOS ANGELES,CA,770502987,34.061738,-118.286874,28,0
2f7b380b-ffc7-3d08-b6e9-af11022e4260,51fd9255-9f49-3abe-b840-4fcf34a5e0ee,Kirby843 Rippin620,M,GENERAL PRACTICE,3055 W RAMSEY ST,BANNING,CA,922203781,33.9255685,-116.875289,65,0
c3adea51-2b60-34b3-9cfb-467cf95ef93c,7e97cfe1-7406-31dc-b34a-e6c1afedf34e,Kathrine376 Reinger292,F,GENERAL PRACTICE,6601 WHITE FEATHER RD,JOSHUA TREE,CA,922526607,34.131822,-116.27504867355569,52,0
9eb67c1d-8e32-3e6b-8cb4-3e1c4257b853,7b2efa74-5df9-37e5-a21c-31400f7bc07f,Williams176 Kilback373,M,GENERAL PRACTICE,40597 Westlake Drive,Oakhurst,CA,93644,37.338547,-119.66928,75,0
fb016d5e-8e55-3beb-b83c-a413f759bdd5,1382083f-082e-3567-9141-e4829c9ffd8d,Bettina657 Klocko335,F,GENERAL PRACTICE,925 S GARFIELD AVE,ALHAMBRA,CA,918014442,34.085471909090906,-118.12315104545455,7,0
